Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,3,34,0.033500002,697.6442871,0.021776505,666.8206787,10.64999962,0.596855521
1,3,35,0.034500002,1706.43042,0.021776505,7848.751465,8.380000114,0.636796415
1,3,36,0.035500002,408.2921753,0.015759314,707.2694092,5.940000057,0.48371312
1,4,1,0.0005,52752.96875,0.017476788,201321.6406,10.84000015,0.732120514
1,4,2,0.0015,8179.442871,0.023484433,27852.33594,31.72999954,0.895203233
1,4,3,0.0025,8656.049805,0.025942108,148850.4219,135.2700043,0.983550966
1,4,4,0.0035,8764.040039,0.027034406,2883.498291,339.2099915,0.485766262
1,4,5,0.0045,2381.032959,0.027307482,3030.958496,517.9899902,0.951570749
1,4,6,0.0055,1276.549438,0.027307482,746.6351929,745.4599609,0.915309489
1,4,7,0.0065,1036.157593,0.027307482,1071.700684,909.8099976,0.965689302
1,4,8,0.0075,2452.654053,0.027307482,11313.60938,1417.390015,0.9739452
1,4,9,0.0085,743.0006104,0.027307482,349.8502197,1725.589966,0.956653714
1,4,10,0.009500001,938.4294434,0.027307482,329.7260132,2269.089844,0.964487016
1,4,11,0.010500001,772.9966431,0.027307482,204.8611298,2365.530029,0.956037521
1,4,12,0.011500001,719.7312622,0.027307482,152.5742798,2709.310059,0.949929953
1,4,13,0.012500001,815.0285034,0.027307482,175.6976624,3082.969971,0.957543373
1,4,14,0.013500001,666.6785889,0.027307482,123.3137207,3255.01001,0.952511132
1,4,15,0.014500001,632.5786743,0.027307482,105.4544373,3371.699951,0.946530342
1,4,16,0.015500001,614.1916504,0.027307482,109.476593,3132.47998,0.950915813
1,4,17,0.016500001,610.8405151,0.027307482,125.5158539,2753.069824,0.950526357
1,4,18,0.017500001,556.5453491,0.027307482,123.6499786,2269.570068,0.953773081
1,4,19,0.018500001,533.8272095,0.027307482,112.1895142,1818.589966,0.94079721
1,4,20,0.019500001,515.6714478,0.027307482,110.9798584,1590.179932,0.944197238
1,4,21,0.020500001,523.6964111,0.027307482,115.1536102,1278.329956,0.932834804
1,4,22,0.021500001,489.1853333,0.027307482,104.1630096,1136.429932,0.922116518
1,4,23,0.022500001,579.4692993,0.027307482,302.64328,989.6699829,0.948357701
1,4,24,0.023500001,515.5692749,0.027307482,149.0635071,839.9899902,0.928697228
1,4,25,0.024500001,546.3287964,0.027307482,164.5707703,727.1599731,0.914588332
1,4,26,0.025500001,535.2988892,0.027307482,173.6637726,560.0800171,0.932936549
1,4,27,0.026500001,592.6116943,0.027307482,285.6261902,456.1999817,0.905881107
1,4,28,0.027500001,645.8162231,0.027307482,235.8733368,332.8599854,0.897059798
1,4,29,0.028500001,562.8803101,0.027307482,244.3574524,231.6699982,0.917419076
1,4,30,0.029500001,598.7445679,0.027307482,202.7922974,156.0999908,0.733201027
1,4,31,0.030500001,775.895813,0.027307482,993.8182373,111.1199951,0.798908889
1,4,32,0.031500002,652.890564,0.027034406,609.2730713,84.38999939,0.894227386
1,4,33,0.032500002,1183.398682,0.025942108,930.7479858,52.19999695,0.859935463
1,4,34,0.033500002,773.6771851,0.025122883,456.3883362,30.01000023,0.775246382
1,4,35,0.034500002,1559.830566,0.020207537,9693.628906,14.75,0.869622886
